tweet_id,user_id,username,name,first_name,last_name,full_text,view_count,bookmark_count,favorite_count,reply_count,retweet_count,quote_count,bookmarked,favorited,retweeted,created_at,user_mentions,location,bio,website,websites,can_dm,can_media_tag,is_quote_status,lang,followers_count,following_count,media_count,statuses_count,favourites_count,listed_count,fast_followers_count,normal_followers_count,followed_by,following,profile_banner_url,profile_url,avatar_url,verified,is_blue_verified,user_created_at
1807473758875103370,464064494,Dommiek,Ichungwah Is Ruto's Bitch Period!,Ichungwah,Is Ruto's Bitch Period!,"Ama hiyo PHD ilikuwa ya Lies, Tumetenga, Tumeweka, Tumekubaliana &amp; Were you there?
@EricLatiff @LinusKaikai @jageyo @citizentvkenya 

#RutoMustGo
#RutoMustGo
#RutoMustGo
#RutoMustGo",49,0,1,0,0,0,FALSE,FALSE,FALSE,"6/30/2024, 10:58:20 PM",EricLatiff; LinusKaikai; jageyo; citizentvkenya,"Nakuru, Kenya","I Have No Special Talent, I'm Only Passionately Curious",,,FALSE,FALSE,FALSE,tl,528,785,162,3087,5634,2,0,528,,,https://pbs.twimg.com/profile_banners/464064494/1635462423,https://www.x.com/Dommiek,https://pbs.twimg.com/profile_images/1803020301413883904/TTSI7SGD_normal.jpg,FALSE,FALSE,"1/15/2012, 1:08:05 AM"
1807473758048854087,947205510364876800,StrelGeorge,𝐄𝐥 𝐩𝐚𝐭𝐜𝐡𝐲,𝐄𝐥,𝐩𝐚𝐭𝐜𝐡𝐲,"@AlinurMohamed_ No mercy, No remorse, No accountability.... More lies….Ruto must go",5,0,0,0,0,0,FALSE,FALSE,FALSE,"6/30/2024, 10:58:19 PM",AlinurMohamed_,"Nairobi, Kenya",The dumb are mostly intrigued by the drum.🗡️ pass joints not judgements🍁☺️...🖐️procurement Officer 🎓.,,,FALSE,TRUE,FALSE,en,2353,2327,259,14645,16378,0,0,2353,,,https://pbs.twimg.com/profile_banners/947205510364876800/1691004182,https://www.x.com/StrelGeorge,https://pbs.twimg.com/profile_images/1755615939511386112/IWElMmSG_normal.jpg,FALSE,FALSE,"12/31/2017, 1:39:26 AM"
1807473756182593842,1589377165543481347,kener_4,Murwuon,Murwuon,,President William Ruto know how to lie,179,0,3,1,1,0,FALSE,FALSE,FALSE,"6/30/2024, 10:58:19 PM",,"Nairobi, Kenya",Digital Comms and PR|| Policy Analyst|| Degree Holder|| You need me in your office? DM.,,,FALSE,TRUE,FALSE,en,1305,1817,178,4334,20627,0,0,1305,,,,https://www.x.com/kener_4,https://pbs.twimg.com/profile_images/1802427319996305409/sUiuXAvw_normal.jpg,FALSE,FALSE,"11/7/2022, 3:01:11 AM"
1807473749626704259,1081980343484366848,arnold_ob,African Son,African,Son,"We Mzee Tokea sasa Tuesday tuendee Maandamo how can all your propheies come true abut Ruto?

Eric Latiff Mtukuf Lies Sudi #RutoMustResign",221,0,4,0,2,0,FALSE,FALSE,FALSE,"6/30/2024, 10:58:17 PM",,Mombasa kenya,"Graphic Designer || Philanthropist || Political Enthusiast || Pan African || Founder, CEO @afriqconnect_f",,,FALSE,TRUE,TRUE,en,1075,766,393,4812,8015,0,0,1075,,,https://pbs.twimg.com/profile_banners/1081980343484366848/1695797863,https://www.x.com/arnold_ob,https://pbs.twimg.com/profile_images/1702641200577085441/QT0XvjKB_normal.jpg,FALSE,FALSE,"1/6/2019, 11:26:30 PM"
1807473721113813231,1504116724353970182,kelvine_mwendwa,Mwendwa~😅,Mwendwa~😅,,@ItsMutai what is that you benefit from Mr lies you keep on protecting him like that ... #Ruto must go,98,0,2,0,0,0,FALSE,FALSE,FALSE,"6/30/2024, 10:58:11 PM",ItsMutai,"Mombasa, Kenya","📌success is not lucky .. but it's a choice
💪🩸
📌Mungu siku zote 🤗|| Chelsea fan since 2006
📌Serious Chemists",,,FALSE,TRUE,FALSE,en,67,128,29,468,285,0,0,67,,,https://pbs.twimg.com/profile_banners/1504116724353970182/1688637022,https://www.x.com/kelvine_mwendwa,https://pbs.twimg.com/profile_images/1806719401124610048/myIn_ZZF_normal.jpg,FALSE,FALSE,"3/16/2022, 8:26:21 PM"
1807473716705759639,939208235592175621,laurent_vieliza,LAURENT VIELIZA,LAURENT,VIELIZA,"President William ruto is saying that there was only one person who died during the Githurai massacre. And only 19 people died during the finance bill protests.

Kwani huyu mtukufu lies anaishi nchi gani? Huyu jamaa anafaa kusalimiwa huko state house.

#RutoMustResign",339,0,1,1,0,0,FALSE,FALSE,FALSE,"6/30/2024, 10:58:09 PM",,"KAKAMEGA, WESTERN KENYA.","REAL ESTATE DEVELOPER AT ELIPHAN ENTERPRISES, CONTENT DEVELOPER AND FOUNDER OF LAURENT VIELIZA LIVE YOUTUBE CHANNEL.",,,FALSE,FALSE,FALSE,en,3636,3542,1660,19629,54460,2,0,3636,,,https://pbs.twimg.com/profile_banners/939208235592175621/1633795326,https://www.x.com/laurent_vieliza,https://pbs.twimg.com/profile_images/1503729307117568007/nCYAR8_k_normal.jpg,FALSE,FALSE,"12/9/2017, 12:01:07 AM"
1807473694580609318,1206966212497956865,Guevara_KE,Kiki Namasaka🇰🇪,Kiki,Namasaka🇰🇪,"President William Ruto: There is CCTV footage, and the criminals will be caught.

Linus Kaikai: We have CCTV footage of police killing people.

Mtukufu Lies: Were you there? 😭

#PresidentialRoundtable
#RutoMustGo",585,0,4,0,4,0,FALSE,FALSE,FALSE,"6/30/2024, 10:58:04 PM",,"Watamu, Kenya",Major Nerd || Gods Child || Epicurean Hedonist || @arsenal ||Teacher || Biker🏍️ #20BOBForStreetKidsInEldoret @jumaf3 plagiarist,,,FALSE,FALSE,FALSE,en,14334,6045,1750,16101,24725,7,0,14334,,,https://pbs.twimg.com/profile_banners/1206966212497956865/1618928973,https://www.x.com/Guevara_KE,https://pbs.twimg.com/profile_images/1805663811451420672/lp2aGKSu_normal.jpg,FALSE,FALSE,"12/17/2019, 8:56:40 PM"
1807473617380225088,1428997506290098177,Jesseabisheck,JESSE ABISHECK,JESSE,ABISHECK,"People like kina @KhalifKairo
Were UDA supporters. They joined Gen Z on Anti- finance bill because they never got what they were promised from lie Ruto. #RutoMustGo right now he's telling us to have leader's for dialogue.we are not ready for that bwana

Eric Latiff
Linus Kaikai",37,0,0,0,0,0,FALSE,FALSE,FALSE,"6/30/2024, 10:57:46 PM",KhalifKairo,,People suffer because they mean nothing to the powerful. THEY WILL NOT BELIEVE (https://t.co/B9HWvFjC4I,http://instagram.com/Jesseabisheck,"http://instagram.com/Jesseabisheck
https://www.hubzmedia.africa/government-grapples-with-dual-crisis-doctors-strike-enters-30th-day-as-",TRUE,TRUE,FALSE,en,9341,7511,378,93294,25328,0,0,9341,,,https://pbs.twimg.com/profile_banners/1428997506290098177/1719687755,https://www.x.com/Jesseabisheck,https://pbs.twimg.com/profile_images/1807858660497833984/W8CDa6ab_normal.jpg,FALSE,FALSE,"8/21/2021, 1:29:12 PM"
1807473608404693163,2751512015,devvy_brown,Devyy_brown,Devyy_brown,,"@citizentvkenya RUTO:
LIES
LIES
LIES
LIES
LIES
LIES
LIES
LIES
LIES
CRIMINALS
CRIMINALS
CRIMINALS
CRIMINALS
CRIMINALS
CRIMINALS
CRIMINALS
CRIMINALS
CRIMINALS
CRIMINALS

#RutoMustGo",471,0,1,0,0,0,FALSE,FALSE,FALSE,"6/30/2024, 10:57:44 PM",citizentvkenya,"Nairobi, Kenya","ZOEY👑

IG:@devvy_brown

Buda Zoey❤",,,TRUE,TRUE,FALSE,ca,130,600,26,517,4853,0,0,130,,,https://pbs.twimg.com/profile_banners/2751512015/1554242814,https://www.x.com/devvy_brown,https://pbs.twimg.com/profile_images/1377336221148585992/A7QfudKJ_normal.jpg,FALSE,FALSE,"8/26/2014, 12:25:43 PM"
1807473589647786486,1057189891442909184,TheRealCitizen3,Therealcitizen,Therealcitizen,,"Mtukufu Lies trying to get a word in this shit show:

Ii sio fair guys. Wacheni aongee
#RutoMustGo 
#RutoMustBeStopped 
#sudi
president william ruto https://t.co/SudrhySpVc",1375,0,6,0,0,0,FALSE,FALSE,FALSE,"6/30/2024, 10:57:39 PM",,"Nyali, Kenya",Car salesman Mombasa | Writing | Adventure | AirBnb Host,https://accesspapers.com/,https://accesspapers.com/,TRUE,TRUE,FALSE,en,150,213,87,537,1614,0,0,150,,,https://pbs.twimg.com/profile_banners/1057189891442909184/1713621958,https://www.x.com/TheRealCitizen3,https://pbs.twimg.com/profile_images/1807466600410259456/ulCYhbcP_normal.jpg,FALSE,FALSE,"10/30/2018, 1:38:06 PM"
